,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,JasonNolf,,,,,,,,,,Fall,TF,TF,Dec,MD,6,5,16,27
1,BenAnderson,,,,,,,,,,,,,,,0,0,0,0
2,BcLaPrade,MD,,,,,,,,,,,,,,1,0.5,0,1.5
3,JohnVanBrill,,Fall,,,,,,,,MD,,,,,3,1.5,0,4.5
4,ChristianPagdilao,,,,Dec,,,,,Dec,MD,Dec,,,,1,3,4,8
5,JoshuaMcClure,,,,,,,,,,,,,,,0,0,0,0
6,JustinRuffin,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
7,JoshHumphreys,,Dec,MD,,,,,,,Dec,,,,,1,2,0,3
8,HaydenHidlay,,,,,,Dec,,,,TF,TF,SV,,,3,3.5,9,15.5
9,HunterWillits,,,,,,,,,,,,,,,0,0,0,0
10,JustinThomas,,Dec,Dec,,,,,,,Dec,,,,,0,2,0,2
11,TalebRahmani,MD,Dec,Fall,,,,,,,,,,,,3,1.5,0,4.5
12,JarrettJacques,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
13,LukeWeiland,,,,,,,,,,Dec,,,,,0,1,0,1
14,AlexSmythe,,,,,,,,,,,,,,,0,0,0,0
15,AlecPantaleo,,,,MD,Dec,Dec,Dec,,,MD,Dec,,,,2,4,10,16
16,RyanDeakin,,,,Dec,Dec,,,,,Dec,MD,,,,1,3,6,10
17,ChristianLabrie,,,,,,,,,,,,,,,0,0,0,0
18,GriffinParriott,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
19,ZachHartman,Dec,Dec,,,,,,,,,,,,,0,1,0,1
20,KeShawnHayes,,,,,,,,,,Dec,,,,,0,1,0,1
21,ZacCarson,,,,,,,,,,,,,,,0,0,0,0
22,DanReed,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
23,KalebYoung,,,,,,,,SV,,TF,MD,SV,,,2.5,3.5,7,13
24,LarryEarly,,,,Dec,,,,,,MD,Dec,,,,1,2.5,3,6.5
25,QuincyMonda,,,,,,,,,,,,,,,0,0,0,0
26,ChaseStraw,TB,,,,,,,,,,,,,,0,0.5,0,0.5
27,SteveBleise,,SV,TB,,,,,,,MD,,,,,1,2,0,3
28,EricBarone,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
29,LoganParks,TF,,,,,,,,,,,,,,1.5,0.5,0,2
30,BenjaminBarton,,,,,,,,,,,,,,,0,0,0,0
31,TylerBerger,,,,,,,,,,TF,Fall,Dec,Dec,,3.5,4,12,19.5
