,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,MylesMartin,Fall,MD,MD,,,4.0,3.0,0.0
1,BobColeman,,,,,,0.0,0.0,0.0
2,AndrewMcNally,,,,,,0.0,0.0,0.0
3,CoreyHazel,Dec,,,,,0.0,1.0,0.0
4,TaylorVenz,Dec,,,,,0.0,1.0,0.0
5,TannerHarvey,,,,,,0.0,0.0,0.0
6,MaxLyon,,,,,,0.0,0.0,0.0
7,RyanPreisch,Fall,Dec,,,,2.0,2.0,0.0
8,MaxwellDean,MD,SV,Dec,Dec,,1.0,4.0,12.0
9,NoahStewart,,,,,,0.0,0.0,0.0
10,NickGravina,,,,,,0.0,0.0,0.0
11,CashWilcke,Dec,,,,,0.0,1.0,0.0
12,NinoBonaccorsi,Dec,Dec,,,,0.0,2.0,0.0
13,WillSumner,,,,,,0.0,0.0,0.0
14,WillSchany,,,,,,0.0,0.0,0.0
15,EmeryParker,Dec,,,,,0.0,1.0,0.0
16,ZacharyZavatsky,Dec,Dec,,,,0.0,2.0,0.0
17,DomDucharme,,,,,,0.0,0.0,0.0
18,CameronCaffey,Dec,,,,,0.0,1.0,0.0
19,DylanWisman,,,,,,0.0,0.0,0.0
20,LouDeprez,MD,,,,,1.0,1.0,0.0
21,MasonReinhardt,,,,,,0.0,0.0,0.0
22,ChristianLaFragola,,,,,,0.0,0.0,0.0
23,DrewFoster,MD,Dec,Dec,Dec,Dec,1.0,5.0,16.0
24,NickReenan,,,,,,0.0,0.0,0.0
25,DakotaGeer,Dec,,,,,0.0,1.0,0.0
26,JacksonHemauer,,,,,,0.0,0.0,0.0
27,SamuelColbray,Dec,Dec,,,,0.0,2.0,0.0
28,ChipNess,Dec,Dec,SV,,,0.0,3.0,0.0
29,TateSamuelson,,,,,,0.0,0.0,0.0
30,KevinParker,,,,,,0.0,0.0,0.0
31,ShakurRasheed,MD,,,,,1.0,1.0,0.0
